,city,city_details,experience,private_experience,alter_experience,sex,age,marital_status,has_children,allow_time_request,experimentGroup,working_with.family,working_with.adults,working_with.lgbt,working_with.believer,working_with.fem,working_with.foreigner,working_with.elderly,education_count,competences_count,methods_count,expertise_count,features_of_work_count,price
0,Москва,,7,9,1,F,31.0,single,False,True,False,False,True,False,False,False,False,False,4,7,1,1,9,4500
1,Санкт-Петербург,м. Петроградская,3,6,1,F,36.0,single,True,True,False,False,True,False,False,False,False,False,4,10,2,4,15,3500
2,Москва,м. Динамо / Петровский парк,3,5,1,F,44.0,married,True,True,False,True,True,False,True,False,False,True,12,12,5,5,17,5000
3,Москва,,12,12,4,F,34.0,married,True,True,False,False,True,True,False,False,False,False,12,4,1,8,20,6000
4,Новосибирск,,8,7,3,F,48.0,married,False,True,False,False,True,False,False,False,False,False,5,3,1,4,10,3500
5,Краснодар,Центральный,10,11,3,F,36.0,single,False,True,False,False,True,True,False,False,False,False,9,4,1,5,14,3900
6,Москва,м. Белорусская,12,0,0,F,34.0,married,True,True,True,False,True,False,False,False,False,False,4,4,2,1,13,12000
7,Самара,Район Губернского рынка,7,6,2,F,51.0,married,True,True,False,False,True,False,False,False,False,True,4,5,1,6,8,4200
8,Москва,,8,8,1,M,36.0,married,False,True,False,False,True,False,False,False,False,False,15,4,3,5,16,8650
9,Москва,м. Краснопресненская / Баррикадная,10,9,4,F,31.0,married,False,True,False,False,True,False,False,True,False,False,6,4,1,1,5,3500
10,Пятигорск,,5,7,2,F,27.0,single,False,True,False,False,True,False,False,False,False,False,9,16,3,4,11,3000
11,Санкт-Петербург,м. Спортивная,6,5,2,M,31.0,single,,True,False,False,True,True,False,False,False,False,7,4,1,7,11,5000
12,Херцег-Нови,,8,0,0,F,31.0,married,True,True,False,False,True,True,False,False,False,True,15,4,2,5,15,6000
13,Нижний Новгород,,5,0,0,F,26.0,single,False,True,False,False,True,False,False,False,False,False,11,4,1,1,18,4000
14,Москва,м. Боровицкая,5,5,2,F,51.0,,,True,True,True,True,False,True,False,False,True,9,4,2,2,12,6000
15,Москва,м. Аэропорт,17,17,4,,,,,True,False,False,True,True,False,False,False,False,6,5,2,6,19,6000
16,Москва,м. Чистые пруды / Красные ворота,5,0,0,F,37.0,,,False,False,False,True,False,False,False,False,False,4,4,1,1,9,5000
17,Москва,м. Краснопресненская,10,13,1,F,53.0,married,True,True,False,False,True,False,False,False,False,False,12,8,4,4,6,6000
18,Сочи,,8,7,2,M,42.0,married,True,True,False,False,True,True,False,False,False,False,5,4,1,2,12,4444
19,Санкт-Петербург,м. Владимирская,3,8,0,F,41.0,married,False,True,False,False,True,False,False,False,False,False,2,4,1,3,13,3500
20,Москва,м. Полянка / Октябрьская,3,0,0,F,25.0,married,False,True,True,False,True,False,False,False,False,False,6,4,2,5,13,5000
21,Ростов-на-Дону,,19,25,3,F,58.0,married,True,True,False,True,True,True,False,False,False,True,8,18,2,2,15,4000
22,Батуми,,13,7,2,F,39.0,married,True,True,False,False,True,False,False,False,False,True,3,4,2,2,12,3500
23,Санкт-Петербург,м. Василеостровская,7,15,1,F,37.0,married,True,True,False,False,True,True,False,False,False,True,5,4,2,4,9,5000
24,Краснодар,,7,6,0,F,36.0,married,True,True,False,False,True,True,False,False,False,False,6,8,3,2,10,3500
25,Санкт-Петербург,м. Петроградская,6,5,2,F,42.0,single,True,True,True,False,True,True,False,True,False,False,6,4,1,2,14,4500
26,Москва,"Тверская, Таганская, Курская",5,5,3,F,40.0,single,True,True,False,True,True,False,False,False,False,False,6,4,2,1,12,2000
27,Москва,м. Полянка,9,10,3,F,44.0,single,True,True,False,False,True,False,False,False,False,True,7,23,2,9,17,5000
28,Нижний Новгород,,4,0,0,M,40.0,married,True,True,False,False,True,False,False,False,False,True,4,4,1,5,17,2220
29,Уфа,ост. Кондитерская фабрика,4,0,0,F,27.0,single,False,True,False,False,True,True,False,False,False,False,11,4,1,3,10,3000
30,Москва,,5,3,2,F,53.0,married,True,True,True,False,True,False,False,False,False,False,4,4,1,5,6,5000
31,Санкт-Петербург,м. Сенная,16,12,2,F,44.0,,,True,False,False,True,True,False,False,False,True,4,4,1,2,4,4000
