,gender,self_appointment,messages,video,audio,individual,family,sync_messages,features,friendliness,lgbtq,start_of_practice,approaches,professions,work_areas,non_working_areas,english,experience,age,education_counts,training_counts
0,woman,False,1.0,True,1.0,True,1.0,1.0,"['Детско-родительские, семейные  отношения', 'Отношения в паре, поиск партнера, одиночество', 'Расставания, развод', 'Тревога, волнение, сниженное настроение, апатия, потеря интереса к жизни', 'Созависимость, контрзависимость', 'Самооценка и самопринятие', 'Детские травмы', 'Желание лучше узнать себя']",65,0.0,2019,['Гештальт-терапия'],['Психолог'],"['Поиск партнера', 'Отношения с партнёром (партнёрами)', 'Ревность, измена', 'Расставание, развод', 'Созависимость, контрзависимость', 'Семейные отношения', 'Детско-родительские отношения', 'Кризисы и внутренние конфликты', 'Сложные решения, серьезные перемены в жизни', 'Миграция, переезд', 'Другие сложные моменты в жизни', 'Выгорание', 'Стресс, напряжение', 'Баланс между жизнью и работой', 'Отношения и конфликты на работе', 'Синдром самозванца', 'Прокрастинация, лень, низкая продуктивность', 'Личная эффективность', 'Отношения с деньгами', 'Другие вопросы, связанные с работой / учебой', 'Тревога, волнение', 'Страхи, фобии', 'Навязчивости, Обсессивно-компульсивное расстройство', 'Сниженное настроение', 'Хроническое подавленное состояние', 'Депрессия', 'Апатия, усталость, нехватка сил', 'Невозможность испытывать удовольствие и радость', 'Детские травмы', 'Горе, утраты, потери', 'Самооценка и самопринятие', 'Личные границы', 'Желание лучше узнать себя', 'Смыслы и ценности', 'Поиск своего призвания', 'Эмоциональная нестабильность', 'Гнев, агрессия, раздражительность', 'Чувство вины и стыда', 'Отношения с окружающими, трудности в общении', 'Одиночество, непонимание', 'Отсутствие четкого запроса']",[],1.0,,34.0,1,7
1,woman,True,1.0,False,0.0,True,0.0,0.0,"['Колебания настроения, срывы, агрессия', 'Усталость, вялость, апатия, отчаяние', 'Поиск себя и самоопределение, принятие решений', 'Созависимые отношения, отношения в паре', 'Чувство одиночества,  желание найти партнера', 'Личные границы, манипуляции, сложности в общении', 'Психосоматика', 'Принятие своего тела и внешности', 'Трудности и перемены на работе / в учебе', 'Переживание острого горя, тяжелые болезни', 'Детские травмы, ПТСР, опыт насилия', 'Тревога, страхи, панические атаки', 'Неуверенность в себе, стеснительность, комплексы']",65,,2017,['Гештальт-терапия'],['Психолог'],"['Семейные отношения', 'Сложные решения, серьезные перемены в жизни', 'Отношения и конфликты на работе', 'Синдром самозванца', 'Другие вопросы, связанные с работой / учебой', 'Прокрастинация, лень, низкая продуктивность', 'Личная эффективность', 'Тревога, волнение', 'Страхи, фобии', 'Панические атаки', 'Сниженное настроение', 'Апатия, усталость, нехватка сил', 'Детские травмы', 'Горе, утраты, потери', 'Самооценка и самопринятие', 'Личные границы', 'Отсутствие четкого запроса', 'Отношения с деньгами', 'Хроническое подавленное состояние', 'Баланс между жизнью и работой', 'Созависимость, контрзависимость', 'Кризисы и внутренние конфликты', 'Нарушения сна', 'Выгорание', 'Стресс, напряжение', 'Желание лучше узнать себя', 'Тело и психосоматика', 'Эмоциональная нестабильность', 'Гнев, агрессия, раздражительность', 'Чувство вины и стыда', 'Одиночество, непонимание', 'Отношения с окружающими, трудности в общении']","['Сексуальные проблемы и вопросы', 'Я — автор насилия', 'Намерение совершить самоубийство', 'Пограничное и нарциссическое расстройство личности', 'Нехимические зависимости', 'Злоупотребление веществами и хим. зависимости', 'Психология питания и расстройства пищевого поведения', 'Биполярное расстройство, эмоциональные качели']",,5.0,33.0,1,1
2,woman,False,0.0,True,1.0,True,0.0,1.0,"['Перепады настроения, срывы', 'Грусть, тоска, отчаяние', 'Поиск себя и самоопределение', 'Отношения в паре', 'Детско-родительские отношения', 'Постановка и достижение целей', 'Трудности на работе / в учебе', 'Острое горе', 'Тревога, страхи', 'Неуверенность в себе']",67,1.0,2017,"['Понимающая психотерапия', 'Сказкотерапия']",['Психолог'],"['Поиск партнера', 'Семейные отношения', 'Детско-родительские отношения', 'Синдром самозванца', 'Другие вопросы, связанные с работой / учебой', 'Прокрастинация, лень, низкая продуктивность', 'Личная эффективность', 'Тревога, волнение', 'Страхи, фобии', 'Панические атаки', 'Апатия, усталость, нехватка сил', 'Детские травмы', 'Горе, утраты, потери', 'Самооценка и самопринятие', 'Личные границы', 'Отсутствие четкого запроса', 'Беременность, роды, репродуктивные вопросы', 'Отношения с деньгами', 'Баланс между жизнью и работой', 'Отношения с партнёром (партнёрами)', 'Расставание, развод', 'Созависимость, контрзависимость', 'Кризисы и внутренние конфликты', 'Выгорание', 'Желание лучше узнать себя', 'Эмоциональная нестабильность', 'Гнев, агрессия, раздражительность', 'Чувство вины и стыда', 'Одиночество, непонимание', 'Отношения с окружающими, трудности в общении', 'Сексуальная ориентация и вопросы идентичности']","['Я — автор насилия', 'Депрессия', 'Нехимические зависимости', 'Злоупотребление веществами и хим. зависимости', 'Психология питания и расстройства пищевого поведения', 'Биполярное расстройство, эмоциональные качели', 'Проблемы с памятью, вниманием и мышлением']",,5.0,39.0,1,2
3,woman,True,0.0,True,0.0,True,0.0,0.0,"['Колебания настроения, эмоциональная нестабильность, раздражение', 'Самоповреждающее поведение', 'Депрессивные состояния', 'Тревога, страхи, панические атаки', 'Апатия, отсутствие энергии и сил', 'Поиск себя и самоопределение, принятие решений', 'Детско-родительские отношения', 'Чувство одиночества, желание найти партнера', 'Личные границы, манипуляции, сложности в общении', 'Трудности и перемены на работе / в учебе', 'Принятие своего тела и внешности', 'Детские травмы', 'Неуверенность в себе, стеснительность, комплексы']",64,,2015,['Позитивная психотерапия'],['Психолог'],"['Поиск партнера', 'Семейные отношения', 'Детско-родительские отношения', 'Сложные решения, серьезные перемены в жизни', 'Синдром самозванца', 'Прокрастинация, лень, низкая продуктивность', 'Тревога, волнение', 'Страхи, фобии', 'Сниженное настроение', 'Апатия, усталость, нехватка сил', 'Детские травмы', 'Горе, утраты, потери', 'Самооценка и самопринятие', 'Личные границы', 'Отсутствие четкого запроса', 'Хроническое подавленное состояние', 'Отношения с партнёром (партнёрами)', 'Расставание, развод', 'Созависимость, контрзависимость', 'Кризисы и внутренние конфликты', 'Желание лучше узнать себя', 'Эмоциональная нестабильность', 'Гнев, агрессия, раздражительность', 'Чувство вины и стыда', 'Одиночество, непонимание', 'Отношения с окружающими, трудности в общении']","['Беременность, роды, репродуктивные вопросы', 'Ипохондрия', 'Сексуальные проблемы и вопросы', 'Сексуализированное насилие в отношении меня', 'Физическое насилие в отношении меня', 'Я — автор насилия', 'Психологическое, финансовое и др. виды насилия в отношении меня', 'Суицидальные мысли и фантазии о смерти', 'Нехимические зависимости', 'Злоупотребление веществами и хим. зависимости', 'Биполярное расстройство, эмоциональные качели', 'Проблемы с памятью, вниманием и мышлением']",0.0,7.0,37.0,1,4
4,woman,True,0.0,True,1.0,True,0.0,1.0,"['Перепады настроения, срывы', 'Состояния на грани', 'Психосоматика', 'Поиск себя и самоопределение', 'Чувство одиночества, желание найти партнера', 'Детско-родительские отношения', 'Личные границы, манипуляции', 'Тревога, страхи, панические атаки', 'Неуверенность в себе', 'Сниженное настроение, апатия']",63,1.0,2004,"['Ориентированная на решения краткосрочная терапия', 'Психодрама']",['Клинический психолог'],"['Ревность, измена', 'Семейные отношения', 'Детско-родительские отношения', 'Сложные решения, серьезные перемены в жизни', 'Миграция, переезд', 'Отношения и конфликты на работе', 'Синдром самозванца', 'Другие вопросы, связанные с работой / учебой', 'Прокрастинация, лень, низкая продуктивность', 'Личная эффективность', 'Ипохондрия', 'Тревога, волнение', 'Страхи, фобии', 'Панические атаки', 'Навязчивости, Обсессивно-компульсивное расстройство', 'Сниженное настроение', 'Апатия, усталость, нехватка сил', 'Детские травмы', 'Самооценка и самопринятие', 'Личные границы', 'Когнитивные нарушения', 'Отсутствие четкого запроса', 'Отношения с деньгами', 'Самоповреждение (порезы, обжигания, выдёргивание волос и т.д.)', 'Хроническое подавленное состояние', 'Баланс между жизнью и работой', 'Отношения с партнёром (партнёрами)', 'Расставание, развод', 'Созависимость, контрзависимость', 'Кризисы и внутренние конфликты', 'Выгорание', 'Стресс, напряжение', 'Желание лучше узнать себя', 'Тело и психосоматика', 'Эмоциональная нестабильность', 'Гнев, агрессия, раздражительность', 'Чувство вины и стыда', 'Одиночество, непонимание', 'Отношения с окружающими, трудности в общении', 'Проблемы с памятью, вниманием и мышлением', 'Сексуальная ориентация и вопросы идентичности']","['Пограничное и нарциссическое расстройство личности', 'Нехимические зависимости', 'Злоупотребление веществами и хим. зависимости']",,17.0,59.0,1,4
5,woman,True,1.0,True,1.0,True,0.0,1.0,"['Перепады настроения, срывы', 'ПТСР, работа с жертвами насилия', 'Состояния на грани', 'Сниженное настроение, апатия', 'Нехимические и химические зависимости', 'Личные границы, манипуляции', 'Трудности на работе / в учебе', 'Неуверенность в себе', 'Отношения в паре', 'Детско-родительские отношения', 'Чувство одиночества, желание найти партнера']",56,0.0,2017,['Гештальт-терапия'],['Психолог'],"['Семейные отношения', 'Детско-родительские отношения', 'Сложные решения, серьезные перемены в жизни', 'Отношения и конфликты на работе', 'Синдром самозванца', 'Другие вопросы, связанные с работой / учебой', 'Прокрастинация, лень, низкая продуктивность', 'Личная эффективность', 'Сниженное настроение', 'Апатия, усталость, нехватка сил', 'Сексуальные проблемы и вопросы', 'Детские травмы', 'Горе, утраты, потери', 'Самооценка и самопринятие', 'Личные границы', 'Отсутствие четкого запроса', 'Физическое насилие в отношении меня', 'Я — автор насилия', 'Психологическое, финансовое и др. виды насилия в отношении меня', 'Самоповреждение (порезы, обжигания, выдёргивание волос и т.д.)', 'Хроническое подавленное состояние', 'Депрессия', 'Отношения с партнёром (партнёрами)', 'Расставание, развод', 'Созависимость, контрзависимость', 'Кризисы и внутренние конфликты', 'Намерение совершить самоубийство', 'Суицидальные мысли и фантазии о смерти', 'Выгорание', 'Стресс, напряжение', 'Желание лучше узнать себя', 'Эмоциональная нестабильность', 'Гнев, агрессия, раздражительность', 'Чувство вины и стыда', 'Одиночество, непонимание', 'Отношения с окружающими, трудности в общении']",[],0.0,5.0,39.0,1,4
6,woman,True,0.0,True,1.0,True,1.0,1.0,"['Перепады настроения, апатия, срывы', 'Поиск себя, принятие решений', 'Детско-родительские отношения', 'Отношения в паре, конфликты и кризисы', 'Сексуальные проблемы', 'Личные границы, сложности в общении', 'Трудности и перемены на работе / в учебе', 'Самооценка и самопринятие', 'Детские травмы, работа с жертвами насилия', 'Тревога, страхи']",62,,2015,"['Сексология', 'Эмоционально-фокусированная терапия']",['Психолог'],"['Поиск партнера', 'Ревность, измена', 'Сексуальные проблемы и вопросы', 'Семейные отношения', 'Детско-родительские отношения', 'Сложные решения, серьезные перемены в жизни', 'Миграция, переезд', 'Отношения и конфликты на работе', 'Синдром самозванца', 'Другие вопросы, связанные с работой / учебой', 'Прокрастинация, лень, низкая продуктивность', 'Личная эффективность', 'Ипохондрия', 'Тревога, волнение', 'Сниженное настроение', 'Апатия, усталость, нехватка сил', 'Детские травмы', 'Горе, утраты, потери', 'Самооценка и самопринятие', 'Личные границы', 'Отсутствие четкого запроса', 'Беременность, роды, репродуктивные вопросы', 'Отношения с деньгами', 'Сексуализированное насилие в отношении меня', 'Психологическое, финансовое и др. виды насилия в отношении меня', 'Хроническое подавленное состояние', 'Депрессия', 'Баланс между жизнью и работой', 'Отношения с партнёром (партнёрами)', 'Расставание, развод', 'Созависимость, контрзависимость', 'Кризисы и внутренние конфликты', 'Нарушения сна', 'Выгорание', 'Стресс, напряжение', 'Желание лучше узнать себя', 'Эмоциональная нестабильность', 'Гнев, агрессия, раздражительность', 'Отношения с окружающими, трудности в общении']","['Я — автор насилия', 'Злоупотребление веществами и хим. зависимости', 'Биполярное расстройство, эмоциональные качели']",,6.0,46.0,2,3
7,woman,True,0.0,False,0.0,False,1.0,0.0,"['Детско-родительские отношения', 'Отношения в паре, конфликты и кризисы', 'Планирование детей, сопровождение беременности, подготовка', 'Утрата близких, острое горе', 'Поиск себя и самоопределение, принятие решений', 'Расстройства пищевого поведения', 'Личные границы и манипуляции, сложности в общении', 'Самооценка, неуверенность в себе', 'Трудности на работе / учебе', 'Тревога, страхи, панические атаки', 'Апатия, усталость, депрессивное состояние', 'Психосоматика']",60,,2009,['Гештальт-терапия'],['Психолог'],"['Поиск партнера', 'Семейные отношения', 'Детско-родительские отношения', 'Сложные решения, серьезные перемены в жизни', 'Отношения и конфликты на работе', 'Синдром самозванца', 'Другие вопросы, связанные с работой / учебой', 'Прокрастинация, лень, низкая продуктивность', 'Личная эффективность', 'Тревога, волнение', 'Страхи, фобии', 'Панические атаки', 'Сниженное настроение', 'Апатия, усталость, нехватка сил', 'Детские травмы', 'Горе, утраты, потери', 'Самооценка и самопринятие', 'Личные границы', 'Отсутствие четкого запроса', 'Беременность, роды, репродуктивные вопросы', 'Отношения с деньгами', 'Я — автор насилия', 'Самоповреждение (порезы, обжигания, выдёргивание волос и т.д.)', 'Хроническое подавленное состояние', 'Баланс между жизнью и работой', 'Отношения с партнёром (партнёрами)', 'Расставание, развод', 'Созависимость, контрзависимость', 'Кризисы и внутренние конфликты', 'Суицидальные мысли и фантазии о смерти', 'Нарушения сна', 'Выгорание', 'Стресс, напряжение', 'Желание лучше узнать себя', 'Тело и психосоматика', 'Нехимические зависимости', 'Эмоциональная нестабильность', 'Гнев, агрессия, раздражительность', 'Чувство вины и стыда', 'Одиночество, непонимание', 'Отношения с окружающими, трудности в общении', 'Психология питания и расстройства пищевого поведения']","['Злоупотребление веществами и хим. зависимости', 'Проблемы с памятью, вниманием и мышлением', 'Сексуальная ориентация и вопросы идентичности']",,12.0,43.0,1,3
8,woman,True,0.0,True,0.0,True,0.0,0.0,"['Неуверенность в себе', 'Личные границы, манипуляции', 'Миграция', 'Поиск себя и самоопределение', 'Чувство вины и стыда', 'Усталость, вялость, нехватка сил ', 'Чувство одиночества, желание найти партнера', 'Отношения в паре', 'Трудности на работе / в учебе', 'Работа с жертвами насилия', 'Тревога, страхи, панические атаки']",53,1.0,2016,['Психодрама'],['Психолог'],"['Ревность, измена', 'Сексуальные проблемы и вопросы', 'Семейные отношения', 'Детско-родительские отношения', 'Сложные решения, серьезные перемены в жизни', 'Миграция, переезд', 'Синдром самозванца', 'Прокрастинация, лень, низкая продуктивность', 'Личная эффективность', 'Тревога, волнение', 'Страхи, фобии', 'Панические атаки', 'Сниженное настроение', 'Апатия, усталость, нехватка сил', 'Детские травмы', 'Горе, утраты, потери', 'Самооценка и самопринятие', 'Личные границы', 'Отношения с деньгами', 'Сексуализированное насилие в отношении меня', 'Физическое насилие в отношении меня', 'Психологическое, финансовое и др. виды насилия в отношении меня', 'Хроническое подавленное состояние', 'Баланс между жизнью и работой', 'Расставание, развод', 'Созависимость, контрзависимость', 'Кризисы и внутренние конфликты', 'Выгорание', 'Стресс, напряжение', 'Желание лучше узнать себя', 'Тело и психосоматика', 'Гнев, агрессия, раздражительность', 'Чувство вины и стыда', 'Отношения с окружающими, трудности в общении', 'Сексуальная ориентация и вопросы идентичности']","['Другие вопросы, связанные с работой / учебой', 'Навязчивости, Обсессивно-компульсивное расстройство', 'Отсутствие четкого запроса', 'Беременность, роды, репродуктивные вопросы', 'Я — автор насилия', 'Самоповреждение (порезы, обжигания, выдёргивание волос и т.д.)', 'Намерение совершить самоубийство', 'Пограничное и нарциссическое расстройство личности', 'Нехимические зависимости', 'Злоупотребление веществами и хим. зависимости', 'Психология питания и расстройства пищевого поведения', 'Биполярное расстройство, эмоциональные качели', 'Проблемы с памятью, вниманием и мышлением']",,6.0,32.0,1,3
9,woman,True,0.0,True,0.0,True,0.0,0.0,"['Отношения с партнером, семейные/детско-родительские отношения', 'Поиск партнера, одиночество', 'Созависимость, контрзависимость', 'Ревность, расставание, развод', 'Сложные решения, миграция, переезд', 'Выгорание, стресс, напряжение', 'Прокрастинация, апатия, усталость', 'Самооценка, самопринятие, личные границы', 'Желание лучше узнать себя/поиск своего призвания']",61,1.0,2019,['Клиент-центрированная терапия'],['Психолог'],"['Отношения с партнёром (партнёрами)', 'Поиск партнера', 'Ревность, измена', 'Расставание, развод', 'Созависимость, контрзависимость', 'Семейные отношения', 'Детско-родительские отношения', 'Кризисы и внутренние конфликты', 'Миграция, переезд', 'Другие сложные моменты в жизни', 'Выгорание', 'Стресс, напряжение', 'Баланс между жизнью и работой', 'Синдром самозванца', 'Прокрастинация, лень, низкая продуктивность', 'Апатия, усталость, нехватка сил', 'Самооценка и самопринятие', 'Личные границы', 'Желание лучше узнать себя', 'Смыслы и ценности', 'Поиск своего призвания', 'Отношения с окружающими, трудности в общении', 'Одиночество, непонимание', 'Отсутствие четкого запроса']","['Ипохондрия', 'Навязчивости, Обсессивно-компульсивное расстройство', 'Беременность, роды, репродуктивные вопросы', 'Я — автор насилия', 'Самоповреждение (порезы, обжигания, выдёргивание волос и т.д.)', 'Депрессия', 'Нарушения сна', 'Пограничное и нарциссическое расстройство личности', 'Нехимические зависимости', 'Злоупотребление веществами и хим. зависимости', 'Психология питания и расстройства пищевого поведения', 'Биполярное расстройство, эмоциональные качели', 'Проблемы с памятью, вниманием и мышлением', 'Отношения с деньгами', 'Тело и психосоматика', 'Сексуализированное насилие в отношении меня', 'Физическое насилие в отношении меня', 'Другие ситуации, связанные с насилием', 'Намерение совершить самоубийство', 'Панические атаки', 'Страхи, фобии', 'Тревога, волнение']",,3.0,27.0,2,1
